,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,318.0,285.5,293.0,575.0,486.0,50.0,104.5,417.0,324.5,328.5,16.0,22.5,427.5,48.0,237.5,513.0,506.0,599.5
1,399.5,99.5,370.5,441.0,190.5,563.5,499.5,58.5,136.5,293.5,403.0,398.0,473.5,166.5,117.5,388.0,583.5,283.5
2,484.5,364.5,167.0,438.5,581.5,92.5,112.0,46.5,187.5,134.5,342.5,121.5,453.0,132.0,371.5,159.0,408.5,537.5
3,147.38,163.79,235.05,231.56,162.44,157.33,149.26,277.28,59.44,272.98,200.36,318.7,283.73,224.03,52.44,178.85,318.7,206.55
4,638.21,456.18,735.44,647.72,70.18,579.73,583.38,116.97,410.12,178.38,113.31,639.68,687.93,233.94,312.16,325.32,125.74,605.32
5,727.4,873.62,663.8,574.61,546.1,486.15,364.8,182.76,510.28,566.57,141.09,67.26,531.48,176.92,144.02,357.49,67.26,190.81
6,280.0,57.0,145.5,538.0,381.0,140.0,581.0,42.5,112.5,441.0,478.0,213.0,138.5,34.5,396.0,283.0,201.5,369.5
7,199.06,817.38,767.17,600.7,501.17,267.76,421.02,490.6,869.35,524.96,384.91,885.2,203.46,390.19,995.3,606.87,730.18,784.79
8,343.5,190.5,357.5,155.5,390.0,133.5,285.5,211.5,277.0,541.0,528.5,598.5,230.5,31.5,45.5,413.5,15.0,124.0
9,194.0,400.5,415.5,179.0,28.0,352.0,170.5,587.5,215.0,333.5,555.0,131.5,108.0,395.0,139.5,107.0,158.5,68.0
10,59.5,466.5,20.5,446.5,520.5,349.0,103.0,169.0,532.0,116.5,61.0,27.0,85.0,211.5,54.0,485.0,535.5,89.5
11,559.31,789.19,428.95,391.07,914.27,335.58,985.61,19.38,578.68,857.9,223.72,554.9,391.07,922.19,81.03,670.29,23.78,449.21
12,170.51,322.46,61.32,79.34,246.89,226.99,159.48,85.79,266.52,166.47,62.93,128.02,79.34,29.58,268.13,143.08,133.93,246.35
13,498.0,326.5,528.5,510.0,593.5,144.5,156.0,129.5,201.5,270.5,74.0,328.0,157.0,563.5,479.5,404.5,236.5,155.5
14,366.0,393.0,191.0,216.5,484.5,174.5,211.5,389.0,216.5,229.5,153.0,279.5,325.0,377.5,25.0,28.5,448.5,236.0
15,118.73,121.94,122.18,97.63,0.72,23.96,17.28,43.27,136.37,82.73,123.26,78.32,25.87,73.43,131.84,56.5,34.81,66.63
16,274.32,281.31,98.97,161.63,221.88,60.78,243.66,50.29,141.19,129.09,89.83,77.72,234.25,230.21,132.59,198.48,253.07,205.74
17,611.16,237.59,702.55,538.06,184.23,222.97,93.58,329.71,228.82,394.77,825.37,247.1,812.94,222.24,294.62,826.1,546.83,603.12
